"Qty","Value","Device","Package","Parts","Description","AVAILABILITY","DESCRIPTION","MF","MP","PACKAGE","PRICE","PROD_ID","VALUE",
"1","","CONN_01PTH_NO_SILK_YES_STOP","1X01_NO_SILK","J1","Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections","","","","","","","","",
"2","","CONN_14NO_SILK","1X14_NO_SILK","J3, J4","Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections","","","","","","","","",
"1","","MICROBUILDER_ANTENNA_U.FL","MICROBUILDER_U.FL","ANT","U.FL Antenna Connector","","","","","","","","",
"1","","RFM69HCW_SMT","RFMHCW_SMT","U1","RFM69HCW - ISM Band RF Transceiver","","","","","","","","",
"4","100k","RES0805-RES","RES","R1, R3, R4, R9","Resistor","","","","","","","","",
"3","100nF","CAP0805","CAP","C10, C11, C12","Capacitor","","","","","","","","",
"2","10K","RES0805-RES","RES","R2, R5","Resistor","","","","","","","","",
"1","10uF","CAP0805","CAP","C2","Capacitor","","","","","","","","",
"1","1nF","CAP0805","CAP","C1","Capacitor","","","","","","","","",
"1","22uF","CAP0805","CAP","C9","Capacitor","","","","","","","","",
"1","ESP32-WROOM-32(8MB)","ESP32-WROOM-32(8MB)","MODULE_ESP32-WROOM-32(8MB)","U3","WIFI MODULE 64 MBITS SPI FLASH","Unavailable"," Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Surface Mount ","Espressif Systems","ESP32-WROOM-32 _8MB_","Module Espressif Systems","None","","",
"1","LERU_LOGO_9MM","LERU_LOGO_9MM","LERU_LOGO_9MM","U$9","","","","","","","","","",
"1","MBR120","DIODESOD123","DIODE","D2","DIODE","","","","","","","","",
"2","MOMENTARY-SWITCH-SPST-SMD-RIGHT-ANGLE","MOMENTARY-SWITCH-SPST-SMD-RIGHT-ANGLE","TACTILE_SWITCH_SMD_RIGHT_ANGLE","PGM, RST","Momentary Switch (Pushbutton) - SPST","","","","","","","COMP-12265","",
"1","WS2812B","WS2812B","WS2812B","NEO","WS2812B SMD addressable RGB LED","","","","","","","DIO-12503","WS2812B",
